dna_nM,time_h,nt_digitized_uM,nt_simulation_uM,nt_rel_dev,a_digitized_uM,a_simulation_uM,a_rel_dev,digitization_flag
6.8,0.5,140.307692307692,153.160119418541,0.0916017283119697,19.7512295636741,19.7957243558516,0.00225276062100622,merged_with_experimental
6.8,1,276.923076923077,285.74677516345,0.0318633547569029,49.2306766736354,49.7910171940146,0.0113819382190056,merged_with_experimental
6.8,1.5,398.769230769231,400.481188613774,0.00429310416262771,75.467384601501,76.2760217323657,0.0107150543924982,merged_with_experimental
6.8,2,507.692307692308,499.722236695518,-0.0156986246906464,96.102997578474,97.2532529060761,0.0119689849077065,merged_with_experimental
6.8,2.5,590.769230769231,585.514263785,-0.00889512640559902,112.906282431152,113.18631382155,0.00248021088258582,merged_with_experimental
6.8,3,659.076923076923,659.628770867556,0.000837304070754875,122.929294448539,125.039627787373,0.0171670499558397,merged_with_experimental
6.8,3.5,710.769230769231,723.600532949543,0.0180526978727335,131.773128581527,133.754114372256,0.0150333061987154,merged_with_experimental
6.8,4,775.384615384615,778.758892974507,0.00435174689172538,137.963812474619,140.113726197318,0.0155831712978678,assigned_nearest_to_simulation
1.7,0.5,62.7692307692308,67.463727084001,0.074789769720604,10.3178064884865,10.4420063741776,0.0120374311952568,merged_with_experimental
1.7,1,121.846153846154,125.921836454496,0.0334494153462424,28.3002692255629,28.6953770576783,0.0139612746778578,merged_with_experimental
1.7,1.5,171.692307692308,176.569788089693,0.0284082639632655,45.9879374915397,46.3060435473313,0.00691716291582165,merged_with_experimental
1.7,2,214.153846153846,220.444286124393,0.0293734625061453,60.4328665754208,61.0421393424057,0.0100818114630483,merged_with_experimental
1.7,2.5,254.769230769231,258.444249354784,0.0144248917911208,71.3402620061065,72.6563421995828,0.0184479304738702,merged_with_experimental
1.7,3,295.384615384615,291.349122900844,-0.0136618235127678,80.1840961390948,81.5276064242145,0.0167553211897415,merged_with_experimental
1.7,3.5,319.384615384615,319.834752724291,0.00140938955100748,86.964368974386,88.1789951663821,0.0139669407864488,assigned_nearest_to_simulation
1.7,4,345.230769230769,344.487149406208,-0.00215397899271299,91.6810805119798,93.1067452411186,0.0155502609827176,assigned_nearest_to_simulation
0.34,0.5,14.7692307692308,16.9331146494077,0.146512971053646,2.65315023989652,2.97988328932804,NaN,merged_with_experimental
0.34,1,22.1538461538462,31.6138401374921,0.427013617317352,8.8438341329884,8.90510633246837,0.00692823933133414,merged_with_experimental
0.34,1.5,38.7692307692308,44.3413920697343,0.143726382751083,15.0345180260803,15.2292915781873,0.0129550911954173,merged_with_experimental
0.34,2,55.3846153846154,55.3752642368691,-0.000168840167641291,20.6356129769729,20.9267508094683,0.0141085138987747,merged_with_experimental
0.34,2.5,66.4615384615385,64.9404719561064,-0.0228864173271028,25.3523245145668,25.6739333970589,0.0126855776994869,merged_with_experimental
0.34,3,75.6923076923077,73.2321334981218,-0.0325023013459519,28.8898581677621,29.4592827777127,0.0197101905673596,merged_with_experimental
0.34,3.5,84.9230769230769,80.419442566457,-0.0530319263007781,32.1325973498579,32.3954578223548,0.00818049252710354,merged_with_experimental
0.34,4,90.4615384615385,86.6491128575308,-0.0421441605885202,34.1961586475552,34.6308999505189,0.0127131619502773,merged_with_experimental
