time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
0,0,1500,0,0,300,1.9,0,0,20000,0,2.2,0,0,0,0
10,0.00277777777777778,1498.98146151023,3.16052806151105,0.913264195230477,299.6516950636,1.74856491238487,0.151435087615126,8.46977101754659e-05,19996.1942599412,3.80574005877329,2.19591180320165,0.000361702345755329,0.00408819679835047,0.00127908150592504,3.55872731829689e-07
20,0.00555555555555556,1498.62429415847,3.67558986500342,1.82578708603608,299.307861063931,1.59908426290767,0.30091573709233,0.000654815124383091,19989.8315015256,10.1684984744235,2.19183120338196,0.001446415067809,0.00816879661803637,0.00255712477035865,2.7513240520298e-06
30,0.00833333333333333,1498.38402343458,3.72307391100517,2.73757879457561,298.969140264465,1.45184657245809,0.448153427541907,0.00213704376962799,19983.101605131,16.8983948689885,2.18775818642369,0.00325355610535391,0.0122418135763049,0.00383414396999386,8.9791755026386e-06
40,0.0111111111111111,1498.16772505598,3.67467554294444,3.64864168565987,298.636321304617,1.3072027613397,0.592797238660299,0.00490092928083509,19976.3912997981,23.6087002018624,2.18369273823583,0.00578254747940394,0.0163072617641696,0.00511014241689057,2.05921398354415e-05
50,0.0138888888888889,1497.95831266705,3.59873978050585,4.55897673892033,298.31037122222,1.16558020741326,0.734419792586736,0.00926509659835972,19969.7876340526,30.2123659474012,2.17963484475354,0.0090328123878053,0.0203651552464591,0.00638512148308169,3.89289773040324e-05
60,0.0166666666666667,1497.75307339818,3.50611794697822,5.4685846856124,297.992483451344,1.02750372097785,0.872496279022153,0.0155021380960181,19963.324782718,36.6752172819975,2.17558449193813,0.0130037746778509,0.0244155080618657,0.00765908219273445,6.5135034016883e-05
70,0.0194444444444444,1497.55218794435,3.39608713541839,6.37746622840491,297.684140492881,0.893622872554764,1.00637712744524,0.0238422798951241,19957.031212453,42.96878754701,2.17154166577701,0.0176948587590017,0.0284583342229941,0.00893202552997887,0.000100177646618168
80,0.0222222222222222,1497.3565648622,3.26501297320749,7.28562208839149,297.387192275366,0.764746117030452,1.13525388296955,0.0344758760762879,19950.9399067486,49.0600932514324,2.16750635228359,0.0231054896030878,0.0324936477164096,0.01020395250475,0.000144856622169277
90,0.025,1497.16744600583,3.10792786405694,8.19305301983664,297.103948114669,0.641880804824037,1.25811919517596,0.047554728514419,19945.0917807229,54.9082192770844,2.16347853749731,0.0292350927655083,0.0365214625026869,0.0114748641734407,0.000199809783674029
100,0.0277777777777778,1496.98631219402,2.91890831062327,9.09975981887317,296.837270263766,0.526273858279289,1.37372614172071,0.0631922055278034,19939.5379292003,60.4620707997214,2.15945820748354,0.0360830944151289,0.040541792516458,0.0127447616510829,0.000265513468604216
110,0.0305555555555556,1496.81474568421,2.69162501265157,10.0057433291168,296.590633931115,0.419437843505322,1.48056215649468,0.0814621789397904,19934.341379305,65.6586206949839,2.15544534833354,0.0436489213699416,0.0445546516664607,0.0140136461192112,0.000342278062772229
120,0.0333333333333333,1496.65407340092,2.42076995510451,10.9110044400737,296.368073640752,0.323127604972888,1.57687239502711,0.102397013700434,19929.5774487727,70.4225512273313,2.15143994616441,0.0519320011347631,0.0485600538355864,0.0152815188236327,0.000430239553363167
130,0.0361111111111111,1496.50461857919,2.10504985248638,11.8155440688347,296.173870024298,0.239204040622398,1.6607959593776,0.125985382660892,19925.3304796038,74.6695203961779,2.14744198711907,0.0609317619318581,0.0525580128809285,0.0165483810487881,0.000529350347314674
140,0.0388888888888889,1496.36452206783,1.75190098439795,12.7193631115671,296.011795731415,0.169306223793449,1.73069377620655,0.152171666186459,19921.6834723097,78.3165276903463,2.14345145736617,0.0706476327060025,0.0565485426338301,0.0178142340498139,0.000639376748682601
150,0.0416666666666667,1496.22863894015,1.38190283909379,13.6224623572454,295.883888568369,0.114318069050189,1.78568193094981,0.180859808907184,19918.6979546173,81.3020453827242,2.13946834310007,0.0810790430760534,0.0605316568999319,0.0190790789317163,0.000759915163475562
160,0.0444444444444444,1496.0888273152,1.02762293125899,14.5248423847446,295.789204746851,0.0738265065296092,1.82617349347039,0.211924363317468,19916.3878691699,83.6121308301087,2.13549263054078,0.0922254232087563,0.0645073694592199,0.0203429165052446,0.000890438501333898
170,0.0472222222222222,1495.93664100238,0.722846280964769,15.426503505898,295.72349382979,0.0459805400365291,1.85401945996347,0.245228245877665,19914.7022664136,85.2977335864173,2.13152430593392,0.104086203624239,0.0684756940660734,0.0216057472071401,0.00103037078099859
180,0.05,1495.76697751604,0.487983306579039,16.327445814277,295.680334220699,0.0279853484167239,1.87201465158327,0.280641613167359,19913.533384523,86.4666154769705,2.12756335555069,0.116660814996247,0.0724366444493121,0.0228675711684552,0.00117916644187966
190,0.0527777777777778,1495.57958666874,0.324035316420344,17.2276693205892,295.653020154122,0.0169229935230148,1.88307700647698,0.318054619609857,19912.7483291886,87.2516708114323,2.12360976568775,0.129948688029779,0.0763902343122439,0.0241283884041866,0.00133636394794057
200,0.0555555555555556,1495.37762486824,0.218377187228678,18.1271740863691,295.635974344778,0.0103666970477752,1.88963330295222,0.357381168626074,19912.2231017756,87.7768982243801,2.11966352266729,0.143949253451444,0.0803364773327123,0.025388199000517,0.00150160154884905
210,0.0583333333333333,1495.16526436992,0.154320286331369,19.0259602919142,295.625206415995,0.00658009705567037,1.89341990294433,0.398556144640197,19911.8613363479,88.138663652116,2.11572461283685,0.158661942081572,0.0842753871631436,0.0266470032099638,0.00167460564974873
220,0.0611111111111111,1494.94614119533,0.117320793113494,19.9240282406416,295.618125213917,0.00443553208660696,1.89556446791339,0.441530197636905,19911.5967647071,88.4032352929443,2.1117930225694,0.174086184933182,0.088206977430594,0.0279048014574813,0.00185516889763405
230,0.0638888888888889,1494.72287232391,0.0969109583038985,20.8213783327685,295.613146025639,0.00324315810460804,1.89675684189539,0.486264760025948,19911.3873019819,88.6126980181141,2.1078687382632,0.190221413300034,0.0921312617367972,0.0291615943035974,0.00204312924380651
240,0.0666666666666667,1494.49715340159,0.0863083004317065,21.7180110343814,295.609333760172,0.00259572746183573,1.89740427253816,0.532728259786687,19911.2075270151,88.7924729849206,2.10395174634179,0.207067058820838,0.0960482536582111,0.0304173824010944,0.00223835403271717
250,0.0694444444444444,1494.2700188848,0.0813750544759682,22.6139268528061,295.606148125079,0.00225774022674759,1.89774225977325,0.580893548845898,19911.042550489,88.957449510965,2.10004203325393,0.224622553521123,0.0999579667460648,0.0316721664605128,0.00244072919683151
260,0.0722222222222222,1494.04207831554,0.0796730880589347,23.5091263199185,295.603280784786,0.00209460772920801,1.89790539227079,0.630736259824852,19910.8838162947,89.1161837053114,2.09613958547359,0.242887329838816,0.103860414526406,0.0329259472267765,0.00265015235220526
270,0.075,1493.81368376824,0.0797941246773632,24.4036099817332,295.600557124981,0.00202991936577752,1.89797008063422,0.682233791193358,19910.7264690724,89.2735309276165,2.09224438949985,0.261860820639209,0.107755610500146,0.0341787254646123,0.00286652853442587
280,0.0777777777777778,1493.5850363023,0.080933939376847,25.2973783921975,295.597878807272,0.00202045299766824,1.89797954700233,0.735364692451566,19910.5677807303,89.432219269718,2.08835643185689,0.281542459223489,0.11164356814311,0.0354305019498564,0.00308976761534271
290,0.0805555555555556,1493.35624999534,0.082636229711154,26.1904321095822,295.595190745624,0.00204180887019338,1.89795819112981,0.790108295535867,19910.4062345814,89.5937654185899,2.08447569909392,0.301931679333458,0.115524300906079,0.0366812774644008,0.00331978275435238
300,0.0833333333333333,1493.12738933064,0.0846430678592454,27.0827716944137,295.5924622999,0.00208022810638026,1.89791977189362,0.84644449488157,19910.2410001063,89.7589998936876,2.08060217778516,0.323027915154064,0.11939782221484,0.0379310527932965,0.00355648947429231
310,0.0861111111111111,1492.89849067291,0.0868089987494946,27.9743977082982,295.589676620946,0.00212795728573654,1.89787204271426,0.904353616207523,19910.0716342154,89.9283657845874,2.07673585452977,0.344830601314676,0.123264145470232,0.0391798287231067,0.00379980511011564
320,0.0888888888888889,1492.66957449342,0.0890521401870803,28.8653107132551,295.586824630819,0.00218062944059618,1.8978193705594,0.963816337875506,19909.8979121109,90.1020878890707,2.07287671595181,0.367339172889651,0.127123284048191,0.0404276060409735,0.00404964847846851
330,0.0916666666666667,1492.4406522948,0.0913264840568837,29.7555112713419,295.583901626745,0.00223578648216338,1.89776421351784,1.02481364326397,19909.7197317625,90.2802682375068,2.0690247487002,0.3905530653985,0.130975251299795,0.0416743855340923,0.00430593967757969
340,0.0944444444444444,1492.21173052305,0.0936062485577472,30.6449999444416,295.580905366653,0.00229204618402197,1.89770795381598,1.08732679138572,19909.5370600289,90.4629399711015,2.06517993944868,0.414471714805822,0.134820060551315,0.042920167989414,0.00456859996380555
350,0.0972222222222222,1491.98281277438,0.0958770508316424,31.5337772941435,295.577834990282,0.00234863269312631,1.89765136730687,1.15133729822179,19909.3499022901,90.6500977099202,2.06134227489574,0.439094557521122,0.138657725104257,0.0441649541934783,0.00483755167320079
360,0.1,1491.75390103936,0.0981309304774057,32.4218438816762,295.574690411235,0.00240511193616857,1.89759488806383,1.21682692434791,19909.1582853365,90.8417146634656,2.05751174176459,0.464421030398537,0.142488258235408,0.0454087449323196,0.00511271816952903
370,0.102777777777778,1491.52499640411,0.100363544963381,33.3092002678695,295.571471974432,0.00246124249799221,1.89753875750201,1.28377766626192,19908.9622477311,91.0377522688924,2.05368832680311,0.490450570736547,0.146311673196886,0.0466515409914139,0.00539402380782321
380,0.105555555555556,1491.29609944539,0.102572589030589,34.1958470131341,295.568180263094,0.00251689156068719,1.89748310843931,1.35217174989521,19908.7618343812,91.2381656188324,2.04987201678382,0.517182616277642,0.150127983216179,0.04789334315565,0.00568139390712274
390,0.108333333333333,1491.06721045335,0.104756903953243,35.081784677449,295.564815990011,0.00257198751433798,1.89742801248566,1.42199162542279,19908.5570934834,91.442906516616,2.0460627985038,0.544616605207985,0.153937201496199,0.0491341522093123,0.0059747547286672
400,0.111111111111111,1490.83832955702,0.106915975422852,35.9670138203556,295.561379936291,0.00262649323222671,1.89737350676777,1.49321996285487,19908.3480748056,91.6519251944125,2.04226065878468,0.572751976157073,0.157739341215321,0.0503739689360723,0.00627403345737342
410,0.113888888888889,1490.60945679507,0.109049650579212,36.8515350009543,295.557872916899,0.00268039100232555,1.89731960899767,1.5658396481088,19908.1348287224,91.8651712775838,2.03846558447257,0.601588168197383,0.16153441552743,0.0516127941189836,0.00657915818533111
420,0.116666666666667,1490.38059215572,0.11115797837785,37.7353487779022,295.55429576128,0.00273367402166653,1.89726632597833,1.63983377938501,19907.9174056753,92.0825943247147,2.03467756243803,0.631124620844025,0.165322437561971,0.0528506285404793,0.00689005789657567
