time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,M,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
0,1500,0,0,300,1.9,0,0,20000,0,2.2,0.008,0,0,0.0100945811406628,0,0.700722753424377,0,0.0004092,0,0,0,0.000570839177185601,8562.587657784,8440.98716820333,124.728360215054,124.728360215054,4.5766590389016e-06,1.41901834510376e-06,112754.003887314,5.06269540331441e-09
10,1499.21861815161,3.02456488932695,0.100904112119774,299.662961255404,1.75346201515772,0.146537984842276,9.16050908906668e-06,19996.2837901051,3.71620989494503,2.19591180320165,0.00801842865382187,3.99634685842605e-05,0.00408819679835047,0.0100943147566885,7.99160567988608e-06,0.648169010949476,2.69795786406371e-06,0.000408439595395507,0.556819240314403,0.000141322285882036,3.84895339876751e-08,0.000573096289805773,9256.81586867442,59141.55224274,134.841935238203,134.841935238203,4.25013397199748e-06,2.03243995300035e-06,78723.1129578038,7.2798987269845e-09
20,1499.12103654087,3.31392804591222,0.201727179772465,299.351174493194,1.61790430713201,0.282095692867993,6.94640731888829e-05,19990.3373177818,9.66268221823502,2.19183120338196,0.0080388000893074,0.000159810750874719,0.00816879661803636,0.010094281471239,1.59767926379792e-05,0.59957938419838,1.00561086763738e-05,0.000407680603829045,0.606013136635225,0.000282531064107094,2.91865853734802e-07,0.000575188142442651,10006.9816502308,1629261.4062014,145.771299339922,145.771299339922,3.94582572184788e-06,2.00903917217249e-06,79640.059893398,7.2223469346026e-09
30,1499.13833147218,3.14378596352432,0.302470345533634,299.062802409287,1.49252889663495,0.407471103365049,0.000222735430764544,19984.3994470024,15.6005529975602,2.18775818642369,0.00805832400737415,0.000359478232775455,0.0122418135763049,0.0100942873709042,2.39556513662638e-05,0.554459853056807,2.11564872618417e-05,0.000406923022674807,0.577164983094633,0.000423627934921055,9.35863154472876e-07,0.000577134418560498,10821.3056467979,477454.637094248,157.636904748471,157.636904748471,3.661163098079e-06,1.89081777328387e-06,84619.4711413787,6.82035010117525e-09
40,1499.1724359013,2.90640705453361,0.403133852117701,298.796176913467,1.37661124990581,0.523388750094187,0.000502640880457987,19978.8290166276,21.1709833724403,2.18369273823583,0.00807658539250193,0.000638902749200224,0.0163072617641696,0.0100942990042643,3.19282010877219e-05,0.512556488232473,3.52758196665765e-05,0.000406166849311864,0.536535357476511,0.000564613238260085,2.11193647251255e-06,0.00057894527958604,11705.9865911458,434396.783248073,170.529527136146,170.529527136146,3.39498554478385e-06,1.76161681439234e-06,90825.6544174684,6.37424836957401e-09
50,1499.20538105174,2.6736664186941,0.503717780874339,298.549742974458,1.26947585743312,0.630524142566879,0.00093638046916695,19973.6667467192,26.3332532807898,2.17963484475354,0.008093572242926,0.000998021246163583,0.0203651552464591,0.0100943102417058,3.98944482452477e-05,0.473660670549613,5.18374555325379e-05,0.000405412081124159,0.496261069936589,0.000705487088059299,3.93437171918887e-06,0.000580629052951511,12667.2523998206,483840.634326144,184.540477062087,184.540477062087,3.14635066623439e-06,1.63683435214787e-06,97749.659145439,5.93995987328824e-09
60,1499.23418747978,2.45748177995697,0.604222184199416,298.322045646641,1.17049061418782,0.729509385812182,0.00154597376426412,19968.8954121113,31.1045878886962,2.17558449193813,0.00810934600239571,0.00143677071941402,0.0244155080618657,0.0100943200670636,4.78543969885938e-05,0.437578926381936,7.03771079644083e-05,0.000404658715500493,0.45845634757331,0.000846249557702264,6.49568808514337e-06,0.000582193498328249,13711.7644571648,563865.906695865,199.767524874741,199.767524874741,2.91435506693742e-06,1.51912934818581e-06,105323.48689799,5.52767018520879e-09
70,1499.25864697303,2.25868593001118,0.704647110302152,298.111724138342,1.07906426082712,0.820935739172876,0.00234925178283789,19964.4885941727,35.5114058272896,2.17154166577701,0.0081239793638689,0.00195508820394347,0.0284583342229941,0.0100943284094783,5.58080511359304e-05,0.404127823774535,9.051777643657e-05,0.000403906749834523,0.423351227363955,0.000986900714708896,9.87080581024322e-06,0.000583646029176411,14846.7359380391,670643.516691627,216.316658641446,216.316658641446,2.69810948838586e-06,1.40873492218689e-06,113577.080741081,5.13876589685322e-09
80,1499.27902945574,2.07619911413453,0.804992607698452,297.917507060654,0.994644334557766,0.905355665442233,0.00336063208015819,19960.4197566076,39.5802433924487,2.16750635228359,0.00813754443809785,0.00255291077294466,0.0324936477164096,0.010094335361147,6.37554145297174e-05,0.37313313617698,0.000111951086243631,0.000403156181524748,0.390834224160925,0.00112744062702864,1.41203028578075e-05,0.000584993742388986,16079.9951196594,812837.960430688,234.303046296795,234.303046296795,2.49673980613964e-06,1.30542326146463e-06,122565.611264263,4.77290274453643e-09
90,1499.29566303858,1.9087088337335,0.905258725928902,297.738207874071,0.916715202681364,0.983284797318636,0.00459173137070433,19956.663832963,43.3361670370359,2.16347853749731,0.00815011049702425,0.00323017553842862,0.036521462502687,0.0100943410340794,7.1696491093569e-05,0.344429675446874,0.000134423204703682,0.0004024070079745,0.360740313647848,0.00126786936404608,1.92929889525392e-05,0.000586243415856342,17420.0406321776,1009040.6893055,253.851888548624,253.851888548624,2.3093915873864e-06,1.20887748623836e-06,132354.189586133,4.42935291802628e-09
