time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
0,1500,0,0,300,1.9,0,0,20000,0,2.2,0,0,0.040227659172492,0,0.700722753424377,0,0.0004092,0,0,0,0.000570839177185601,8562.587657784,8097.70788705186,124.728360215054,124.728360215054,4.5766590389016e-06,1.38084977959678e-06,115870.677871073,4.92651970001215e-09
10,1499.14330517919,3.02451012064986,0.402109905316786,299.66296984042,1.75346594079733,0.146534059202673,3.6468269210147e-05,19996.2838339925,3.71616600748072,2.19591180320165,0.000159257269590235,0.00408819679835047,0.0402264952392073,3.18471045010895e-05,0.648139577617465,1.07369640280568e-05,0.000408439595395507,0.556809866268529,0.000563179139099141,1.53228021891374e-07,0.00057309767233327,9257.2652669287,45600.4390445331,134.849731284731,134.849731284731,4.24989851201997e-06,1.993945380432e-06,80242.9201773495,7.14203410178287e-09
20,1498.97038968071,3.31390860140669,0.80389581908881,299.351204566842,1.61792103471432,0.282078965285684,0.000276259984971957,19990.3374474183,9.66255258168971,2.19183120338197,0.000636856687821678,0.00816879661803637,0.0402262601574283,6.36685488718338e-05,0.599528235252298,3.99655914220389e-05,0.000407680603829046,0.606009852936272,0.00112590450852775,1.16075623937797e-06,0.000575190788478841,10007.8689329369,177385.827858971,145.791009471196,145.791009471196,3.94531041773519e-06,1.97016939849096e-06,81211.2908273529,7.08264556096811e-09
30,1498.91230829391,3.14397198556695,1.20536229487737,299.062862851158,1.49256830348103,0.407431696518973,0.000884936924701687,19984.3994591349,15.6005408650799,2.1877581864237,0.00143254393744114,0.0122418135763049,0.0402261811831696,9.5464693754288e-05,0.554394704857381,8.39673100256305e-05,0.000406923022674808,0.577196646041075,0.00168818248582265,3.71822237269616e-06,0.0005771381900203,10822.6141906307,341060.734659862,157.67329420086,157.67329420086,3.66034205694392e-06,1.85156145322481e-06,86413.5509633413,6.67879266140951e-09
40,1498.87099714941,2.9069550356585,1.60651030023132,298.796272775405,1.37668370731646,0.523316292683546,0.00199502839515638,19978.828420487,21.1715795129701,2.18369273823583,0.00254606649078918,0.0163072617641696,0.0402261250081611,0.00012723561577832,0.512484832597567,0.000139815354258258,0.000406166849311865,0.536629663421863,0.00225001442609428,8.38247224855622e-06,0.000578950026807089,11707.6635606727,366727.433776878,170.588172146689,170.588172146689,3.39384624104682e-06,1.72197537966633e-06,92916.5433427993,6.23086057636856e-09
50,1498.82849415157,2.67470606179904,2.0073401596625,298.549875639214,1.26959186298811,0.63040813701189,0.0037129131165755,19973.6647930199,26.3352069800976,2.17963484475354,0.00397717226320131,0.0203651552464591,0.040226067209399,0.00015898134064527,0.473589676311348,0.0002051792134839,0.000405412081124159,0.496441943694102,0.00281140078384104,1.5600475279729e-05,0.000580634620640503,12669.1950862026,337378.914111995,184.627930436707,184.627930436707,3.14489047928505e-06,1.59681543608685e-06,100199.432184909,5.79478953103241e-09
60,1498.78182586238,2.45911885876602,2.40785208234898,298.322213010516,1.17066052734197,0.729339472658031,0.00612404734582782,19968.8911309745,31.1088690255409,2.17558449193814,0.00572560936848429,0.0244155080618657,0.0402260037427771,0.000190701884922039,0.437515374202877,0.000278185200587418,0.000404658715500493,0.458744064102397,0.00337234185202938,2.57312913690245e-05,0.000582199730116318,13713.8037970244,306847.54468756,199.891505568028,199.891505568028,2.91257864340904e-06,1.47874441295204e-06,108199.901618286,5.38077873832305e-09
70,1498.73078898273,2.26100668215088,2.80804626083635,298.111920816851,1.07929811595908,0.820701884040921,0.00929699703112371,19964.4808290252,35.5191709748248,2.17154166577701,0.00779112607715205,0.0284583342229941,0.0402259343307874,0.000222397263858239,0.404078065632995,0.000357314379049262,0.000403906749834524,0.423762938074412,0.00393283790033102,3.90630127358139e-05,0.000583652771035864,14848.6159242544,282277.348664465,216.486271088464,216.486271088464,2.69602671846735e-06,1.36799799720786e-06,116959.235559238,4.99022388651174e-09
80,1498.67565742796,2.07927392839282,3.20792288893646,297.917724608996,0.994951712332367,0.905048287667635,0.0132865873094483,19960.4071929338,39.5928070662467,2.16750635228359,0.0101734708123088,0.0324936477164097,0.0402258593448499,0.000254067492803768,0.373103073400367,0.000441326601752271,0.000403156181524748,0.391384438996545,0.00449288920019112,5.58259970985224e-05,0.000585000845146697,16081.3470264867,262844.936889009,234.529035380792,234.529035380792,2.4943642658013e-06,1.26435005762149e-06,126547.231943813,4.62278657668655e-09
90,1498.61676257104,1.91259515910164,3.60748216458023,297.738435014821,0.917105145372204,0.982894854627799,0.0181363906371392,19956.6450226743,43.3549773256885,2.16347853749732,0.0128723921521412,0.036521462502687,0.0402257792345559,0.000285712587434754,0.344424750676576,0.000529203178254349,0.000402407007974501,0.36144129666625,0.00505249602882385,7.62033220047866e-05,0.000586250736995444,17420.3508551979,247242.834431101,254.146936870204,254.146936870204,2.30673933833344e-06,1.16748472174754e-06,137046.761314791,4.27774236597135e-09
