rel_tol,quantity,max_rel_dev_vs_1e-10
1e-08,MetRS_MetAMP,2.613271e-08
1e-08,MetRS_degraded,0.000000e+00
1e-08,MetRS_AMP,2.748487e-08
1e-08,GlyRS_GlytRNAGlyGCC,1.185108e-07
1e-08,GlyRS_AMP_GlytRNAGlyGCC,7.980666e-08
1e-08,GlyRS_GlyAMP_tRNAGlyGCC,1.166931e-07
1e-08,GlyRS_tRNAGlyGCC,1.493998e-07
1e-08,GlyRS_Gly_tRNAGlyGCC,1.496190e-07
1e-08,GlyRS_ATP_tRNAGlyGCC,1.493739e-07
1e-08,GlyRS_Gly_ATP_tRNAGlyGCC,1.496205e-07
1e-08,GlyRS_GlyAMP_PPi_tRNAGlyGCC,1.212221e-07
1e-08,MetRS_MettRNAfMetCAU,5.764739e-08
1e-08,MetRS_AMP_MettRNAfMetCAU,3.443064e-08
1e-08,MettRNAfMetCAU,1.566275e-08
1e-08,MetRS_MetAMP_tRNAfMetCAU,3.438011e-08
1e-08,MetRS_tRNAfMetCAU,1.135238e-07
1e-08,MetRS_Met_tRNAfMetCAU,1.157915e-07
1e-08,MetRS_ATP_tRNAfMetCAU,1.136105e-07
1e-08,MetRS_Met_ATP_tRNAfMetCAU,1.157933e-07
1e-08,MetRS_MetAMP_PPi_tRNAfMetCAU,1.195116e-07
