time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,M,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
0,1500,0,0,300,1.9,0,0,20000,0,2.2,0.008,0,0,0.0913645140527784,0,0.700722753424377,0,0.0004092,0,0,0,0.000570839177185601,8562.587657784,7574.9229237207,124.728360215054,124.728360215054,4.5766590389016e-06,1.31607643008175e-06,121573.486419828,4.69542491538268e-09
10,1499.01548510912,3.0244158737938,0.913264592283852,299.662982091199,1.75347265006155,0.146527349938444,8.26838465990848e-05,19996.2839097251,3.71609027491445,2.19591180320165,0.00801739499221753,0.000361702430612348,0.00408819679835046,0.0913614758820387,7.23305557088811e-05,0.648089385696171,2.43295709597506e-05,0.000408439595395507,0.556793735197705,0.0012790820620222,3.47411120164222e-07,0.000573100018268871,9257.95465495227,32839.3359245851,134.863003604246,134.863003604246,4.2494976602377e-06,1.92860425565683e-06,82961.5508369334,6.90801958843968e-09
20,1498.71471384277,3.31387209584195,1.82578939391444,299.35125070723,1.61794948176374,0.282050518236263,0.000625293446839947,19990.3376723766,9.66232762336667,2.19183120338196,0.00803672306652959,0.00144641610824044,0.00816879661803636,0.091360546959154,0.000144602519998023,0.599441204986313,9.03531208792198e-05,0.000407680603829045,0.606003688030356,0.00255712800268128,2.62728339008381e-06,0.000575195278953367,10009.2901362396,70604.2879221207,145.824436101115,145.824436101115,3.94443684702146e-06,1.90419318245402e-06,84025.088144576,6.84551830476713e-09
30,1498.52870714638,3.14427791372528,2.73758474711059,299.062958064593,1.49263513257426,0.407364867425738,0.00199961318179865,19984.3994951726,15.600504827404,2.18775818642369,0.00805519334157427,0.003253560306249,0.0122418135763049,0.0913599723059905,0.000216816711971159,0.554283895205094,0.00018939799721478,0.000406923022674807,0.577248717705064,0.00383415230687757,8.40173605797751e-06,0.000577144592471801,10824.742934754,87240.0763363728,157.734827615893,157.734827615893,3.65895472290514e-06,1.78493414594199e-06,89639.1614019804,6.43853181405432e-09
40,1498.35940740284,2.90786258991276,3.6486528496398,298.79642583673,1.37680629552566,0.523193704474342,0.0045004688061995,19978.8274507777,21.1725492223256,2.18369273823583,0.00807239072370019,0.00578255836274518,0.0163072617641696,0.0913594491499113,0.000288973305691472,0.512362870062038,0.000314653723890717,0.000406166849311864,0.53678584555511,0.0051101580527168,1.89095327991576e-05,0.000578958090655979,11710.4126259967,88800.1731556987,170.687050967643,170.687050967643,3.39192743312281e-06,1.65470253812506e-06,96694.1165034384,5.98752138797805e-09
50,1498.1888642585,2.6764273891342,4.55899443888238,298.550089154169,1.26978768036582,0.630212319634176,0.00836191001618142,19973.6615749559,26.3384250440864,2.17963484475354,0.00808830337342162,0.00903283462219817,0.0203651552464591,0.0913589220380953,0.000361072359559484,0.473468590265385,0.000460711593965114,0.000405412081124158,0.496741395306374,0.00638514627294451,3.51340756982413e-05,0.000580644087672382,12672.3942163886,86945.0939970215,184.774934923893,184.774934923893,3.14243968161345e-06,1.52891331884019e-06,104649.49060773,5.54846549467571e-09
60,1498.01411469505,2.46182442243616,5.46860999047271,298.32248374077,1.17094668057714,0.729053319422861,0.0137694980699872,19968.8840632348,31.1159367652254,2.17558449193813,0.00810299302927314,0.0130038138801979,0.0244155080618657,0.0913583818069668,0.000433113911245438,0.437406484383703,0.00062323620029755,0.000404658715500493,0.459219518167507,0.00765911763371528,5.78550339075091e-05,0.000582210342367613,13717.1735437675,84753.8662036186,200.099249143595,200.099249143595,2.90960783141074e-06,1.4102359010619e-06,113456.195434765,5.13158704235216e-09
70,1497.83496388493,2.26483306376541,6.37749994247399,298.112240053182,1.07969102982965,0.820308970170348,0.0208697756998186,19964.4680111088,35.5319888911701,2.17154166577701,0.00811653276478733,0.0176949212887651,0.0284583342229941,0.0913578278453414,0.00050509799544394,0.403991912705429,0.000798724932836208,0.000403906749834523,0.424441654735242,0.00893207274856302,8.76881331925153e-05,0.000583664276641753,14851.7347009671,82750.8197440087,216.769535425026,216.769535425026,2.69255675386925e-06,1.29891035898432e-06,123180.170897329,4.73829734436915e-09
80,1497.65169258871,2.08433033167151,7.28566473599793,297.918078571139,0.99546691467881,0.90453308532119,0.0297776572569917,19960.3864754351,39.6135245648742,2.16750635228359,0.00812899512789367,0.023105582347151,0.0324936477164096,0.0913572610123602,0.000577024647091036,0.373049382605077,0.000984328991613305,0.000403156181524748,0.392289069404961,0.0102040122352912,0.00012511620696215,0.000585013002577836,16083.6100108372,80985.4013002563,234.905157448083,234.905157448083,2.49042213007662e-06,1.19471336432621e-06,133923.336573903,4.36826782802717e-09
90,1497.46463774496,1.91896852575598,8.19310482165018,297.738805263071,0.917757129822831,0.982242870177168,0.0405822605030513,19956.6140497161,43.3859502839029,2.16347853749731,0.0081404498627463,0.0292352229076209,0.0365214625026869,0.0913566823415683,0.000648893901874695,0.344412420395505,0.00117771830002256,0.0004024070079745,0.362590590077209,0.0114749367250003,0.000170513699592653,0.000586263318030268,17420.91901479,79433.326255771,254.636257541601,254.636257541601,2.30235601045341e-06,1.0973306423247e-06,145808.377009357,4.02077939590977e-09
