pathway_id,enzyme,source_reaction_ids,net_stoichiometry,matches_expected_net_chemistry,expected_net,cancelled_intermediates,n_cancelled_intermediates,ATP_delta,ADP_delta,AMP_delta,PPi_delta,Pi_delta,amino_acid_delta,uncharged_tRNA_delta,aminoacyl_tRNA_delta,net_particle_number_delta,flags
Gly_tRNAGlyGCC,GlyRS,re0000000132|re0000000134|re0000000140|re0000000207|re0000000189|re0000000178|re0000000182|re0000000145,AMP:+1|ATP:-1|Gly:-1|GlytRNAGlyGCC:+1|PPi:+1|tRNAGlyGCC:-1,true,AMP:+1|ATP:-1|Gly:-1|GlytRNAGlyGCC:+1|PPi:+1|tRNAGlyGCC:-1,GlyRS|GlyRS_AMP|GlyRS_AMP_GlytRNAGlyGCC|GlyRS_ATP|GlyRS_GlyAMP_PPi|GlyRS_GlyAMP_PPi_tRNAGlyGCC|GlyRS_GlyAMP_tRNAGlyGCC|GlyRS_Gly_ATP,8,-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,
Met_tRNAfMetCAU,MetRS,re0000000157|re0000000159|re0000000165|re0000000249|re0000000231|re0000000220|re0000000224|re0000000170,AMP:+1|ATP:-1|Met:-1|MettRNAfMetCAU:+1|PPi:+1|tRNAfMetCAU:-1,true,AMP:+1|ATP:-1|Met:-1|MettRNAfMetCAU:+1|PPi:+1|tRNAfMetCAU:-1,MetRS|MetRS_AMP|MetRS_AMP_MettRNAfMetCAU|MetRS_ATP|MetRS_MetAMP_PPi|MetRS_MetAMP_PPi_tRNAfMetCAU|MetRS_MetAMP_tRNAfMetCAU|MetRS_Met_ATP,8,-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,
