enzyme,n_complexes,n_pool_states,n_reactions_touching_pool_all,n_reactions_touching_pool_active,rank_active_enzyme_state_S,n_invariants_active_subnetwork,invariants_active_subnetwork,ones_vector_is_invariant,n_connected_components_active,components
MetRS,14,15,63,42,14,1,"[{""MetRS"": 0.25819889, ""MetRS_AMP"": 0.25819889, ""MetRS_AMP_MettRNAfMetCAU"": 0.25819889, ""MetRS_ATP"": 0.25819889, ""MetRS_ATP_tRNAfMetCAU"": 0.25819889, ""MetRS_Met"": 0.25819889, ""MetRS_MetAMP"": 0.25819889, ""MetRS_MetAMP_PPi"": 0.25819889, ""MetRS_MetAMP_PPi_tRNAfMetCAU"": 0.25819889, ""MetRS_MetAMP_tRNAfMetCAU"": 0.25819889, ""MetRS_Met_ATP"": 0.25819889, ""MetRS_Met_ATP_tRNAfMetCAU"": 0.25819889, ""MetRS_Met_tRNAfMetCAU"": 0.25819889, ""MetRS_MettRNAfMetCAU"": 0.25819889, ""MetRS_tRNAfMetCAU"": 0.25819889}]",true,1,"[[""MetRS"", ""MetRS_AMP"", ""MetRS_AMP_MettRNAfMetCAU"", ""MetRS_ATP"", ""MetRS_ATP_tRNAfMetCAU"", ""MetRS_Met"", ""MetRS_MetAMP"", ""MetRS_MetAMP_PPi"", ""MetRS_MetAMP_PPi_tRNAfMetCAU"", ""MetRS_MetAMP_tRNAfMetCAU"", ""MetRS_Met_ATP"", ""MetRS_Met_ATP_tRNAfMetCAU"", ""MetRS_Met_tRNAfMetCAU"", ""MetRS_MettRNAfMetCAU"", ""MetRS_tRNAfMetCAU""]]"
GlyRS,14,15,63,42,14,1,"[{""GlyRS"": 0.25819889, ""GlyRS_AMP"": 0.25819889, ""GlyRS_AMP_GlytRNAGlyGCC"": 0.25819889, ""GlyRS_ATP"": 0.25819889, ""GlyRS_ATP_tRNAGlyGCC"": 0.25819889, ""GlyRS_Gly"": 0.25819889, ""GlyRS_GlyAMP"": 0.25819889, ""GlyRS_GlyAMP_PPi"": 0.25819889, ""GlyRS_GlyAMP_PPi_tRNAGlyGCC"": 0.25819889, ""GlyRS_GlyAMP_tRNAGlyGCC"": 0.25819889, ""GlyRS_Gly_ATP"": 0.25819889, ""GlyRS_Gly_ATP_tRNAGlyGCC"": 0.25819889, ""GlyRS_Gly_tRNAGlyGCC"": 0.25819889, ""GlyRS_GlytRNAGlyGCC"": 0.25819889, ""GlyRS_tRNAGlyGCC"": 0.25819889}]",true,1,"[[""GlyRS"", ""GlyRS_AMP"", ""GlyRS_AMP_GlytRNAGlyGCC"", ""GlyRS_ATP"", ""GlyRS_ATP_tRNAGlyGCC"", ""GlyRS_Gly"", ""GlyRS_GlyAMP"", ""GlyRS_GlyAMP_PPi"", ""GlyRS_GlyAMP_PPi_tRNAGlyGCC"", ""GlyRS_GlyAMP_tRNAGlyGCC"", ""GlyRS_Gly_ATP"", ""GlyRS_Gly_ATP_tRNAGlyGCC"", ""GlyRS_Gly_tRNAGlyGCC"", ""GlyRS_GlytRNAGlyGCC"", ""GlyRS_tRNAGlyGCC""]]"
