reaction_id,aminoacylation_subsystems,full_subsystem_files,interface_with_other_modules,n_reactants,n_products,reactants,products,net_stoichiometry,is_degradation_sink,k1_author_value,k1_is_zero,rate_law,pathway_membership
re0000000201,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_tRNAGlyGCC:1,GlyRS:1|tRNAGlyGCC:1,GlyRS:+1|GlyRS_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_tRNAGlyGCC,Gly
re0000000202,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_Gly_tRNAGlyGCC:1,GlyRS_Gly:1|tRNAGlyGCC:1,GlyRS_Gly:+1|GlyRS_Gly_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_Gly_tRNAGlyGCC,Gly
re0000000203,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_ATP:1|tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1,GlyRS_ATP:-1|GlyRS_ATP_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,376.0,false,k1 * GlyRS_ATP * tRNAGlyGCC,Gly
re0000000204,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_ATP_tRNAGlyGCC:1,GlyRS_ATP:1|tRNAGlyGCC:1,GlyRS_ATP:+1|GlyRS_ATP_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_ATP_tRNAGlyGCC,Gly
re0000000205,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_Gly_ATP:1|tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_Gly_ATP:-1|GlyRS_Gly_ATP_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,376.0,false,k1 * GlyRS_Gly_ATP * tRNAGlyGCC,Gly
re0000000206,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_Gly_ATP:1|tRNAGlyGCC:1,GlyRS_Gly_ATP:+1|GlyRS_Gly_ATP_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_Gly_ATP_tRNAGlyGCC,Gly
re0000000207,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_GlyAMP_PPi:1|tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi:-1|GlyRS_GlyAMP_PPi_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,353.0,false,k1 * GlyRS_GlyAMP_PPi * tRNAGlyGCC,Gly
re0000000208,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi:1|tRNAGlyGCC:1,GlyRS_GlyAMP_PPi:+1|GlyRS_GlyAMP_PPi_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC,Gly
re0000000209,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_GlyAMP:1|tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_GlyAMP:-1|GlyRS_GlyAMP_tRNAGlyGCC:+1|tRNAGlyGCC:-1,false,353.0,false,k1 * GlyRS_GlyAMP * tRNAGlyGCC,Gly
re0000000210,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_GlyAMP:1|tRNAGlyGCC:1,GlyRS_GlyAMP:+1|GlyRS_GlyAMP_tRNAGlyGCC:-1|tRNAGlyGCC:+1,false,100.0,false,k1 * GlyRS_GlyAMP_tRNAGlyGCC,Gly
re0000000211,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1,GlyRS_degraded:+1|GlyRS_tRNAGlyGCC:-1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_tRNAGlyGCC,Gly
re0000000212,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,3,GlyRS_ATP_tRNAGlyGCC:1,ATP:1|GlyRS_degraded:1|tRNAGlyGCC:1,ATP:+1|GlyRS_ATP_tRNAGlyGCC:-1|GlyRS_degraded:+1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_ATP_tRNAGlyGCC,Gly
re0000000213,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,3,GlyRS_Gly_tRNAGlyGCC:1,Gly:1|GlyRS_degraded:1|tRNAGlyGCC:1,Gly:+1|GlyRS_Gly_tRNAGlyGCC:-1|GlyRS_degraded:+1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_Gly_tRNAGlyGCC,Gly
re0000000214,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,4,GlyRS_Gly_ATP_tRNAGlyGCC:1,ATP:1|Gly:1|GlyRS_degraded:1|tRNAGlyGCC:1,ATP:+1|Gly:+1|GlyRS_Gly_ATP_tRNAGlyGCC:-1|GlyRS_degraded:+1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_Gly_ATP_tRNAGlyGCC,Gly
re0000000215,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,4,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyAMP:1|GlyRS_degraded:1|PPi:1|tRNAGlyGCC:1,GlyAMP:+1|GlyRS_GlyAMP_PPi_tRNAGlyGCC:-1|GlyRS_degraded:+1|PPi:+1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC,Gly
