enzyme,time_s,mode,re_lambda_s^-1,im_lambda_s^-1,abs_lambda_s^-1,class_at_reference
MetRS,1.0000e+03,9,-1.001698e+03,0.000000e+00,1.001698e+03,attracting_stiff
MetRS,1.0000e+03,8,-9.999880e+02,0.000000e+00,9.999880e+02,attracting_stiff
MetRS,1.0000e+03,10,-2.939283e+02,0.000000e+00,2.939283e+02,attracting_stiff
MetRS,1.0000e+03,11,-1.638340e+02,0.000000e+00,1.638340e+02,attracting_stiff
MetRS,1.0000e+03,12,-3.920955e+01,0.000000e+00,3.920955e+01,near_zero_structural_candidate
MetRS,1.0000e+03,13,-1.697677e+00,0.000000e+00,1.697677e+00,near_zero_structural_candidate
GlyRS,1.0000e-04,3,-5.478744e+04,0.000000e+00,5.478744e+04,attracting_stiff
GlyRS,1.0000e-04,13,-4.547474e+04,0.000000e+00,4.547474e+04,attracting_stiff
GlyRS,1.0000e-04,4,-4.252070e+04,0.000000e+00,4.252070e+04,attracting_stiff
GlyRS,1.0000e-04,5,-5.886953e+03,0.000000e+00,5.886953e+03,attracting_stiff
GlyRS,1.0000e-04,6,-2.395600e+03,0.000000e+00,2.395600e+03,attracting_stiff
GlyRS,1.0000e-04,11,-1.354045e+03,0.000000e+00,1.354045e+03,attracting_stiff
GlyRS,1.0000e-04,2,-1.353000e+03,0.000000e+00,1.353000e+03,attracting_stiff
GlyRS,1.0000e-04,10,-1.003350e+03,0.000000e+00,1.003350e+03,attracting_stiff
GlyRS,1.0000e-04,0,-1.000000e+03,0.000000e+00,1.000000e+03,attracting_stiff
GlyRS,1.0000e-04,1,-3.530000e+02,0.000000e+00,3.530000e+02,attracting_stiff
GlyRS,1.0000e-04,7,3.130589e+02,0.000000e+00,3.130589e+02,repelling_or_neutral_numerical
GlyRS,1.0000e-04,8,-1.416016e+02,0.000000e+00,1.416016e+02,attracting_stiff
GlyRS,1.0000e-04,9,-2.035366e+01,0.000000e+00,2.035366e+01,near_zero_structural_candidate
GlyRS,1.0000e-04,12,0.000000e+00,0.000000e+00,0.000000e+00,near_zero_structural_candidate
GlyRS,5.7384e-03,0,-5.282488e+04,0.000000e+00,5.282488e+04,attracting_stiff
GlyRS,5.7384e-03,1,-5.151243e+04,0.000000e+00,5.151243e+04,attracting_stiff
GlyRS,5.7384e-03,2,-4.343382e+04,0.000000e+00,4.343382e+04,attracting_stiff
GlyRS,5.7384e-03,3,-4.211903e+04,0.000000e+00,4.211903e+04,attracting_stiff
GlyRS,5.7384e-03,4,-2.397609e+03,0.000000e+00,2.397609e+03,attracting_stiff
GlyRS,5.7384e-03,5,-2.284228e+03,0.000000e+00,2.284228e+03,attracting_stiff
GlyRS,5.7384e-03,8,-1.364099e+03,7.338677e+01,1.366072e+03,attracting_stiff
GlyRS,5.7384e-03,9,-1.364099e+03,-7.338677e+01,1.366072e+03,attracting_stiff
GlyRS,5.7384e-03,10,-1.201121e+03,0.000000e+00,1.201121e+03,attracting_stiff
GlyRS,5.7384e-03,11,-1.074858e+03,0.000000e+00,1.074858e+03,attracting_stiff
GlyRS,5.7384e-03,12,-1.005556e+03,1.416242e+01,1.005656e+03,attracting_stiff
GlyRS,5.7384e-03,13,-1.005556e+03,-1.416242e+01,1.005656e+03,attracting_stiff
GlyRS,5.7384e-03,7,-3.529625e+02,0.000000e+00,3.529625e+02,attracting_stiff
GlyRS,5.7384e-03,6,-2.379099e+01,0.000000e+00,2.379099e+01,near_zero_structural_candidate
GlyRS,3.2930e-01,0,-5.270465e+04,0.000000e+00,5.270465e+04,attracting_stiff
GlyRS,3.2930e-01,1,-5.149911e+04,0.000000e+00,5.149911e+04,attracting_stiff
GlyRS,3.2930e-01,2,-4.331811e+04,0.000000e+00,4.331811e+04,attracting_stiff
GlyRS,3.2930e-01,3,-4.211097e+04,0.000000e+00,4.211097e+04,attracting_stiff
GlyRS,3.2930e-01,4,-2.289091e+03,0.000000e+00,2.289091e+03,attracting_stiff
GlyRS,3.2930e-01,5,-2.183343e+03,0.000000e+00,2.183343e+03,attracting_stiff
GlyRS,3.2930e-01,8,-1.310290e+03,4.925979e+01,1.311216e+03,attracting_stiff
GlyRS,3.2930e-01,9,-1.310290e+03,-4.925979e+01,1.311216e+03,attracting_stiff
GlyRS,3.2930e-01,12,-1.098522e+03,0.000000e+00,1.098522e+03,attracting_stiff
GlyRS,3.2930e-01,13,-1.078326e+03,0.000000e+00,1.078326e+03,attracting_stiff
GlyRS,3.2930e-01,10,-1.004811e+03,2.971349e+01,1.005250e+03,attracting_stiff
GlyRS,3.2930e-01,11,-1.004811e+03,-2.971349e+01,1.005250e+03,attracting_stiff
GlyRS,3.2930e-01,7,-3.529834e+02,0.000000e+00,3.529834e+02,attracting_stiff
GlyRS,3.2930e-01,6,-2.376931e+01,0.000000e+00,2.376931e+01,near_zero_structural_candidate
GlyRS,1.8897e+01,1,-5.151694e+04,0.000000e+00,5.151694e+04,attracting_stiff
GlyRS,1.8897e+01,0,-5.141795e+04,0.000000e+00,5.141795e+04,attracting_stiff
GlyRS,1.8897e+01,3,-4.219438e+04,0.000000e+00,4.219438e+04,attracting_stiff
GlyRS,1.8897e+01,2,-4.209723e+04,0.000000e+00,4.209723e+04,attracting_stiff
GlyRS,1.8897e+01,4,-1.353008e+03,0.000000e+00,1.353008e+03,attracting_stiff
GlyRS,1.8897e+01,9,-1.173140e+03,0.000000e+00,1.173140e+03,attracting_stiff
GlyRS,1.8897e+01,8,-1.100628e+03,0.000000e+00,1.100628e+03,attracting_stiff
GlyRS,1.8897e+01,7,-1.075430e+03,0.000000e+00,1.075430e+03,attracting_stiff
GlyRS,1.8897e+01,6,-1.046612e+03,0.000000e+00,1.046612e+03,attracting_stiff
GlyRS,1.8897e+01,5,-9.998834e+02,0.000000e+00,9.998834e+02,attracting_stiff
GlyRS,1.8897e+01,10,-3.530000e+02,0.000000e+00,3.530000e+02,attracting_stiff
GlyRS,1.8897e+01,12,-1.220507e+02,0.000000e+00,1.220507e+02,attracting_stiff
GlyRS,1.8897e+01,13,-1.018044e+02,0.000000e+00,1.018044e+02,attracting_stiff
GlyRS,1.8897e+01,11,-2.363598e+01,0.000000e+00,2.363598e+01,near_zero_structural_candidate
