enzyme,time_s,re_lambda,im_lambda,class
GlyRS,1.8897e+01,-1.073064e+03,1.506831e+02,attracting
GlyRS,1.8897e+01,-1.073064e+03,-1.506831e+02,attracting
GlyRS,1.8897e+01,-1.173081e+03,0.000000e+00,attracting
GlyRS,1.8897e+01,-1.353000e+03,0.000000e+00,attracting
GlyRS,1.0000e+03,-5.025521e+04,0.000000e+00,attracting
GlyRS,1.0000e+03,-5.015474e+04,0.000000e+00,attracting
GlyRS,1.0000e+03,-4.153623e+04,0.000000e+00,attracting
GlyRS,1.0000e+03,-4.143858e+04,0.000000e+00,attracting
GlyRS,1.0000e+03,-1.018685e+02,0.000000e+00,attracting
GlyRS,1.0000e+03,-1.026759e+03,1.437954e+02,attracting
GlyRS,1.0000e+03,-1.026759e+03,-1.437954e+02,attracting
GlyRS,1.0000e+03,-1.080293e+03,0.000000e+00,attracting
GlyRS,1.0000e+03,-1.353000e+03,0.000000e+00,attracting
